,sr,section,date,datetime_from,datetime_to,delay_minutes,equipment,problem_description,restart_steps,one_year,two_year,three_year,four_year,five_year,corrective_action,preventive_action,status,actual_action_taken,capa_event_date,capa_start_time,capa_end_time,capa_event_time
166,311,8MM,2023-11-24 00:00:00,24/11 04:55:16,24/11 05:13:47,19,SMS SOHAR STEEL,HEAD COBBLE AT LINE 1 BGV DUE TO CHIPS (HEAT NO 1301370 SOHAR BILLET 130 SQMM),COBBLE REMOVED AND MILL STARTED,,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,Mail to be send to SMS team for inernal billet & commercial for external billet,DONE ,,,2023-11-24 04:55:16,2023-11-24 05:13:47,2023-11-24
167,312,8MM,2023-11-24 00:00:00,24/11 06:04:29,24/11 06:23:43,19,SMS SOHAR STEEL,MATERIAL HEADF COBBLE IN LINE 2 BGV DUE TO CHIPS.,COBBLE REMOVED AND MILL STARTED,,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,Mail to be send to SMS team for inernal billet & commercial for external billet,DONE ,,,2023-11-24 06:04:29,2023-11-24 06:23:43,2023-11-24
168,314,13MM,2023-11-24 00:00:00,24/11 14:07:34,24/11 14:22:48,15,SMS SOHAR STEEL,COBBLE IN LINE 2 BGV DUE TO MATERIAL BREAK IN TAIL DUE TO CHIPS.,COBBLE REMOVED AND MILL STARTED,,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,Mail to be send to SMS team for inernal billet & commercial for external billet,DONE ,,,2023-11-24 14:07:34,2023-11-24 14:22:48,2023-11-24
169,315,13MM,2023-11-24 00:00:00,24/11 14:30:13,24/11 14:43:27,13,BGV 1,COBBLE IN LINE 1 BGV DUE TO MATERIAL BREAK IN TAIL.,COBBLE REMOVED AND MILL STARTED,COBBLE IN BGV DUE TO TAIL END BREAK,OVERSTOCK COME FROM #14 21.4MM INSTEAD OF 20.8MM,,,,STOCK CORRECTION DONE IN #13 &#14 AS PER SECTION CHART ,SAMPLE CHECKING  FREQUENCY NEED TO INCREASE UPTO MILL STABLISATION ,DONE ,,,2023-11-24 14:30:13,2023-11-24 14:43:27,2023-11-24
170,318,10MM,2023-11-25 00:00:00,25/11 21:15:00,25/11 21:28:14,13,PINCH ROLL 3_2,COBBLE DUE TO BAD MATERIAL.,COBBLE REMOVED AND MILL STARTED,,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,Mail to be send to SMS team for inernal billet & commercial for external billet,DONE ,,,2023-11-25 21:15:00,2023-11-25 21:28:14,2023-11-25
171,319,10MM,2023-11-25 00:00:00,25/11 22:15:49,25/11 22:43:54,29,SMS,COBBLE IN BOTH LINE BGV DUE TO BAD MATERIAL.,COBBLE REMOVED AND MILL STARTED,,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,Mail to be send to SMS team for inernal billet & commercial for external billet,DONE ,,,2023-11-25 22:15:49,2023-11-25 22:43:54,2023-11-25
172,320,10MM,2023-11-26 00:00:00,26/11 03:22:05,26/11 03:50:49,26,TWIN CHANNEL 2 B,UNDERSHOOT IN LINE 2B DUE TO MATERIAL HIT AT TWIN CHANNAL.,COBBLE REMOVED AND MILL STARTED,COBBLE DUE TO BAR STRUCK,MATERIAL HIT IN TUNNEL PANEL,,,,TUNNEL PANEL CHECKED FOR GROOVE,GROOVE OF TWIN CHANNEL TO BE CHECKED BEFORE 8 ND 10 MM ROLLING,DONE ,,,2023-11-26 03:22:05,2023-11-26 03:50:49,2023-11-26
173,321,10MM,2023-11-26 00:00:00,26/11 09:40:42,26/11 10:06:21,26,BGV 1,UNDERSHOOT AT LINE 1A DUE TO BGV 1 GUIDE FAILED AS AIR OIL NOT CAME.,"COBBLE REMOVED, GUIDE CHANGED AND MILL STARTED",UNDERSHOOT IN LINE 1 BGV,FLAT MATERIAL FOUND IN COOLING BED,GUIDE FAIL OF STAND 22,AIR OIL WAS NOT COMING,PROBLEM IN DISTRIBUTOR,CYCLE TIME CHANGED TO 5 SEC FROM 10 SEC,DISTRIBUTOR NEED TO BE CHANGED DURING CENTER LINE AND COMPRISION ON LEVEL TO BE CHECKED BY KEEPING CYCLE TIME ONE LINE AS 5 SEC AND OTHER LINE AS 10 SEC,DONE ,,,2023-11-26 09:40:42,2023-11-26 10:06:21,2023-11-26
174,322,10MM,2023-11-26 00:00:00,26/11 12:31:44,26/11 12:49:43,18,BGV 2,STAND 16 DELIVERY KNOCK OUT DUE TO CHIPS OF BGV2,COBBLE REMOVED AND MILL STARTED,STAND 16 DELIVERY KNOCKOUT,CHIPS FOUND IN STAND 16 DELIVERY,CHIPS BECAUSE OF BAD BILLET,,,Mail to be send to SMS team for inernal billet for external billet,Mail to be send to SMS team for inernal billet for external billet (2309469 HOT CHARGE),DONE ,,,2023-11-26 12:31:44,2023-11-26 12:49:43,2023-11-26
175,324,25MM,2023-11-28 00:00:00,28/11 03:04:39,28/11 03:45:32,41,LOOPER-05,COBBLE BETWEEN STD.13 &14 DUE TO LOOPER.5 AIR LINE HOSE OPENED.,"COBBLE REMOVED, QRC CHANGED AND STARTED THE MILL",CYLINDER NOT OPERATED - LOOPER 2,AIR PRESSURE ZERO,HOSE OPENED AS QRC DISCONNECTED,POOR WORKMANSHIP,,"QRC CHANGED, HOSE CONNECETD, DISCUSSED WITH THE PERSON DID THE JOB ABD PROVIDED TRAINING AGAIN","1. OBSERVATION FROM SHOP FLOOR PEOPLE - QRC IS GETTING JAMMED ABECAUSE OF OLD AND RUSTY ENVIRONMENT AT THE LOCATION
2. NEED TO PLAN FOR CHANGING ENTIRE QRC ONE BY ONE FOR ALL LOOPERS",DONE ,,,2023-11-28 03:04:39,2023-11-28 03:45:32,2023-11-28
176,325,14 mm,2023-11-29 00:00:00,29/11 10:22:09,29/11 10:45:28,23,TAIL BREAKER 2_1A,OVERSHOOT IN LINE 1A DUE TO TAIL BRAKER 1A HIGH PESSURE NOT REACHED. (1C+1H),"COBBLE REMOVED, PNEUMATIC SYSTEM CHANGED AND MILL STARTED",OVERSHOOT DUE TO HIGH PRESSURE NOT ACHIEVED,LOW PRESSURE VALVE DIDNT CHANGED HIS POSITION AFTER COMMAND WITHDRAWN,LOW PRESSURE VALVE SPOOL STUCKED,OIL INGRESSED INSIDE LOW PRESSURE VALVE,OIL FLOW WAS ICREASED TO TAKE TRIAL FOR FAST AND SMOOTH OPERATION,"1. OIL FLOW OF LUBRICATOR NORMALIZED
2. FLUSHING DONE OF PNEUMATIC SYSTEM, RECEIVER
3. PNEUMATIC SYSTEM CHANGED","1. TAIL BRAKER  1B/2A AIR LINE TO BE SEPARATED
2. OIL FLOW TO BE SET AS PER ORIGINAL SPECIFICATION
3. SILENCER/MUFFLER TO BE FIXED TO REDUCE DUST INGRESSION INSIDE VALVE",DONE ,,,2023-11-29 10:22:09,2023-11-29 10:45:28,2023-11-29
177,333,8 mm,2023-12-02 00:00:00,2023-02-12 23:44:00,2023-03-12 00:26:00,44,DIVIDE SHEAR L1,WEDGE BROKEN,"COBBLE CLEARED , WEDGE CHANGE & MILL STARTED",UNDERSHOOT IN LINE 1,WEDGE BROKEN,,,,"1.WEDGE CHNGED AND MILL STARTED 
2.MATERIALS TO BE CHECKED AND FREEZED 
3.MILLER SAFETY WASHER TO FIXED WITH BOLT "," 
2.MATERIAL QUALITY TO BE CHECKED IN JS QC AND FREEZED 
3.MILLER SAFETY WASHER TO FIXED WITH BOLT ",DONE ,,,2023-12-02 23:44:00,2023-12-02 00:26:00,2023-12-02
178,335,8 mm,2023-12-03 00:00:00,2023-03-12 05:54:00,2023-03-12 06:55:00,61,STAND 6,IMPROPER STOCK,COBBLE CLEARED & MILL STARTED,HEAD COBBLE IN STD.6 ENTRY. ,STAND 5 PASS CHANGE & EXIT STOCK 60.5MM INSTEAD OF 55MM,METAL NOT ENTERED IN STAND 06 RE GUIDE .(1C )AS GUIDE GAP WAS 59MM AND STOCK WAS 60.5MM,#1 STOCK WAS COMING 5.96MM MORE FROM ACTUAL AS #1 PASS CHANGE HAS BEEN DONE BEFORE 2 BILLET ,,"#1 CLOSE 4MM ,#3 CLOSE 0.2MM,#5 CLOSE 2.5MM AND BILLET TAKEN .","1 .IN SECTION 8MM ONLY ONE PASS CHANGE TO BE CHANGE 
",DONE ,,,2023-12-03 05:54:00,2023-12-03 06:55:00,2023-12-03
179,336,8 mm,2023-12-03 00:00:00,2023-03-12 23:09:00,2023-03-12 23:19:00,10,BGV 2,COBBLE IN LINE 2 BGV BEFORE REACING PR3,COBBLE REMOVED AND MILL STARTED 100% SPEED,COBBLE IN BGV,DUE TO MATERIAL BREAK,DUE TO FLUTTERING AFTER BGV,,,SPEED REDUCED TO 85% AND MILL STARTED,"1. FLUTTEREING OCCURS GENERALLY BECAUSE OF WATER PRESSURE AND FLOW ISSUE IN WB
2. TO STUDY AND ANALYZING THE PROPER CAUSE, NEED TO INSTALL PT WITH DISPLAY AND GRAPH IN INDIVIDUAL TAPPING OF WB 1 AND 2
3. PINCH ROLL 2, RING TO BE CHECKED",DONE ,"A. NFA APPROVED
B. OTHER POINT TO BE CHECKED IN NEXT CAMPAIGN",,2023-12-03 23:09:00,2023-12-03 23:19:00,2023-12-03
180,337,8 mm,2023-12-03 00:00:00,2023-03-12 23:20:00,2023-03-12 23:30:00,9,BGV 2,COBBLE IN LINE 2 BGV BEFORE REACING PR3,COBBLE REMOVED AND MILL STARTED 95% SPEED,COBBLE IN BGV,DUE TO MATERIAL BREAK,DUE TO FLUTTERING AFTER BGV,,,SPEED REDUCED TO 85% AND MILL STARTED,"1. FLUTTEREING OCCURS GENERALLY BECAUSE OF WATER PRESSURE AND FLOW ISSUE IN WB
2. TO STUDY AND ANALYZING THE PROPER CAUSE, NEED TO INSTALL PT WITH DISPLAY AND GRAPH IN INDIVIDUAL TAPPING OF WB 1 AND 2
3. PINCH ROLL 2, RING TO BE CHECKED",DONE ,"A. NFA APPROVED
B. OTHER POINT TO BE CHECKED IN NEXT CAMPAIGN",,2023-12-03 23:20:00,2023-12-03 23:30:00,2023-12-03
181,338,8 mm,2023-12-03 00:00:00,2023-03-12 23:39:00,2023-04-12 00:18:00,39,BGV 2,COBBLE IN LINE 2 BGV BEFORE REACING PR3,"COBBLE REMOVED , CYLINDER & VALVE CHANGED AND MILL STARTED 85% SPEED",COBBLE IN BGV,DUE TO MATERIAL BREAK,DUE TO FLUTTERING AFTER BGV,,,SPEED REDUCED TO 85% AND MILL STARTED,"1. FLUTTEREING OCCURS GENERALLY BECAUSE OF WATER PRESSURE AND FLOW ISSUE IN WB
2. TO STUDY AND ANALYZING THE PROPER CAUSE, NEED TO INSTALL PT WITH DISPLAY AND GRAPH IN INDIVIDUAL TAPPING OF WB 1 AND 2
3. PINCH ROLL 2, RING TO BE CHECKED",DONE ,"A. NFA APPROVED
B. OTHER POINT TO BE CHECKED IN NEXT CAMPAIGN",,2023-12-03 23:39:00,2023-12-03 00:18:00,2023-12-03
182,339,8 mm,2023-12-04 00:00:00,2023-04-12 02:51:00,2023-04-12 03:15:00,24,PINCH ROLL 3_2,COBBLE IN LINE 2 BGV BEFORE REACING PR3,"COBBLE REMOVED , CYLINDER & VALVE CHANGED AND MILL STARTED 90% SPEED FROM 100%",COBBLE IN BGV,DUE TO MATERIAL BREAK,DUE TO FLUTTERING AFTER BGV,,,SPEED REDUCED TO 85% AND MILL STARTED,"1. FLUTTEREING OCCURS GENERALLY BECAUSE OF WATER PRESSURE AND FLOW ISSUE IN WB
2. TO STUDY AND ANALYZING THE PROPER CAUSE, NEED TO INSTALL PT WITH DISPLAY AND GRAPH IN INDIVIDUAL TAPPING OF WB 1 AND 2",DONE ,"A. NFA APPROVED
B. OTHER POINT TO BE CHECKED IN NEXT CAMPAIGN",,2023-12-04 02:51:00,2023-12-04 03:15:00,2023-12-04
183,340,8 mm,2023-12-04 00:00:00,2023-04-12 03:21:00,2023-04-12 03:49:00,29,BGV 1,ENTRY GUIDE FAILED,COBBLE CLEARED AND MILL STARTED,UNDERSHOOT IN LINE 1,RE GUIDE STAND 22 FAILED,BEARING FAILED,AIR OIL NOT COMING,,AIR OIL CHECKED PHYSICALLY AND MILL STARTED,"TO BE DONE DURING CENTER LINE
1. COMPRISION ON LEVEL TO BE CHECKED BY KEEPING CYCLE TIME ONE LINE AS 5 SEC AND OTHER LINE AS 10 SEC
2. PRESSURE OF LINE 1 AND LINE 2 TO BE CHAKED, BY OPERATING BOTH THE PUMP INDIVIDUALLY
2. DURING CENTER LINE ROLLING, NEED TO CHECK FLOW OF ALL THE 4 LINE OF BGV-1 AND THEN FLUSHING TO BE DONE TO CHECK ANY BLOCKAGE IN STAND 22 LINE
3. DISTRIBUTOR ASSEMBLY NEW TO BE KEPT AS SPARE TO CHNGE IF REQUIRED
4.IF DIFFERENCE FOUND IN FLOW AFTER ABOVE STEPS THEN NEED TO CHANGE MODULE ASSEBLE OF STAND 22
5. IF FLOW IS PROPER, GUIDE SEEMBLY TO BE CHECKED FOR WHETHER OIL IS REACHING TO BEARING OR NOT",DONE ,,,2023-12-04 03:21:00,2023-12-04 03:49:00,2023-12-04
184,341,8 mm,2023-12-04 00:00:00,2023-04-12 03:51:00,2023-04-12 04:06:00,15,BGV2,COBBLE IN LINE 2 BGV DUE TO MATERIAL HIT SOMEWHERE AND STOP BEFORE WATERBOX 2 FUNNAL.,COBBLE CLEARED AND MILL STARTED AT SAME SPEED 90%,COBBLE IN BGV,DUE TO MATERIAL BREAK,DUE TO FLUTTERING AFTER BGV,,,SPEED REDUCED TO 85% AND MILL STARTED,"1. FLUTTEREING OCCURS GENERALLY BECAUSE OF WATER PRESSURE AND FLOW ISSUE IN WB
2. TO STUDY AND ANALYZING THE PROPER CAUSE, NEED TO INSTALL PT WITH DISPLAY AND GRAPH IN INDIVIDUAL TAPPING OF WB 1 AND 2",DONE ,"A. NFA APPROVED
B. OTHER POINT TO BE CHECKED IN NEXT CAMPAIGN",,2023-12-04 03:51:00,2023-12-04 04:06:00,2023-12-04
185,342,8 mm,2023-12-04 00:00:00,2023-04-12 08:13:00,2023-04-12 08:33:00,20,BGV 2,BILLET QUALITY NOT OK,COBBLE AND CHIP REMOVED & MILL STARTED,,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,Mail to be send to SMS team for inernal billet & commercial for external billet,DONE ,,,2023-12-04 08:13:00,2023-12-04 08:33:00,2023-12-04
186,343,8 mm,2023-12-04 00:00:00,2023-04-12 10:29:00,2023-04-12 11:04:00,35,T,BILLET QUALITY NOT OK,COBBLE AND CHIP REMOVED & MILL STARTED,,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,Mail to be send to SMS team for inernal billet & commercial for external billet,DONE ,,,2023-12-04 10:29:00,2023-12-04 11:04:00,2023-12-04
187,370,25 mm,2023-12-16 00:00:00,16/12 21:09:31,16/12 22:03:33,55,ART,COBBLE AFTER STABD 14 DUE TO MATERIAL HIT SOMEWHERE IN APRON.(1C+1H),COBBLE REMOVED AD MILL STARTED ,UNDERSHOOT  IN LINE,HEAD HIT IN APPRON ,MIS-ALIGMNMENT OF APRON,,,"1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE","1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE
4. TEMPORARY CAMERA TO BE FIXED BEFORE NEXT CAMPAIGN",DONE ,,,2023-12-16 21:09:31,2023-12-16 22:03:33,2023-12-16
188,345,10 mm,2023-12-05 00:00:00,2023-05-12 01:14:00,2023-05-12 01:29:00,15,BGV 1,COBBLE IN LINE 1 BGV DUE TO BAD MATERIAL. 165 COLD CHARGE HEAT NO 2309701 (1C+1H),COBBLE AND CHIP REMOVED & MILL STARTED,,,,,,,,DONE ,,,2023-12-05 01:14:00,2023-12-05 01:29:00,2023-12-05
189,346,10 mm,2023-12-05 00:00:00,2023-05-12 02:15:00,2023-05-12 02:31:00,16,BGV 1,COBBLE IN LINE 2 BGV DUE TO BAD MATERIAL. 165 COLD CHARGE HEAT NO 2309704 (1C+1H),COBBLE AND CHIP REMOVED & MILL STARTED,,,,,,,,DONE ,,,2023-12-05 02:15:00,2023-12-05 02:31:00,2023-12-05
190,349,10 mm,2023-12-06 00:00:00,2023-06-12 00:19:00,2023-06-12 00:34:00,15,BGV2,HEAD COBBLE AT BGV 2 BREAKOUT BOX,"COBBLE REMOVED, BREAKOUT BOX ALIGNED AND MILL STARTED",COOBLE IN BGV 2 LINE,MATERIAL FRONT HIT AT BREAKOUT BOX,BREAKOUT BOX  FOUND MISALINGNED,MISALIGNMENT DUE TO LOOSE NESS OF BREAKOUT BOX,SHEAR KEY NOT FITTED PROPER,"BREAKOUT BOX ALIGNED, COBBLE REMOVED AND MILL STARTED ","1. ENTIRE SHEAR KEY TO BE CHECKED FOR ANY DEVIATION IN SHAPE
2. FITMENT TO BE CROSS-CHECKED FOR TIGHTNESS AFTER  EVERY SECTION CHANGE AND COBBLES",DONE ,,,2023-12-06 00:19:00,2023-12-06 00:34:00,2023-12-06
191,350,10 mm,2023-12-06 00:00:00,2023-06-12 01:17:00,2023-06-12 01:48:00,31,WATER BOX,HEAD COBBLE WB3 COOLER NO 6 DUE TO BAD MATERIAL (HEAT NO 239458 HOT CHARGE 165 SQMM),"BAD MATERIAL, CHIPS AND COBBLE REMOVED AND MILL STARTED",,,,,,,,DONE ,,,2023-12-06 01:17:00,2023-12-06 01:48:00,2023-12-06
192,351,10 mm,2023-12-06 00:00:00,2023-06-12 01:56:00,2023-06-12 02:10:00,14,BGV2,MATERIAL BROKEN AT LINE 2 AFTER BGV (HEAT NO 239458 HOT CHARGE 165 SQMM),COBBLE RMOVED AND MILL STARTED,MATERIAL BREAKAGE AT WB2,BREAKAGE HAPPENED WHEN PR-2 HEAD PINCHING,,,,COBBLE REMOVED AND MILL STARTED,"1. PRESSURE GAUGE / PT TO BE INSTALLED IN WATER BOX  INDIVDUAL LINE FOR  SETING WATER PRESSURE
2. PR2 OVERSPEED TO BE REDUCED AS IT IS OBSERVED  THAT ITS LINEAR SPEED IS 0.4 EXTRA FROM LINE 1",DONE ,,,2023-12-06 01:56:00,2023-12-06 02:10:00,2023-12-06
193,352,14 mm,2023-12-07 00:00:00,2023-07-12 10:22:00,2023-07-12 10:43:00,21,STAND 11,"FRONT COBBLE IN STAND 11 ENTRY , GUIDE ROLL BROKEN.(1C+1H)","COBBLE CLEARED, RE GUIDE CHANGED AND MILL STARTED",COBBLE AT STAND 11 ENTRY,GUIDE ROLL BROKEN - FIRST VERTICE ONE FROM LEFT SIDE,CHIPS STUCK IN BOTTOM OF GUIDE ROLL AND STOP ROTATION,MATERIAL RUBBING WITH STATIC ,MIS-ALIGNMENT OF STATIC GUIDE,ALIGNMENT OF STATIC TO BE CHECK FOR ALL THE GUIDE,"1. REFRESING TRAINING TO BE PROVIDED TO ALL THE PERSON WHO IS WORKNG IN GUIDE
2. CHECKLIST TO BE REVIEW
3. ENTIRE ALIGNMENT BENCH TO BE CALIBRATED
4. OPERATION GENERAL SHIFT INCHARGE NEED TO RANDOMLY CHECH AND SIGN THE CHECKLIST WITH ROLLER
.",DONE ,,,2023-12-07 10:22:00,2023-12-07 10:43:00,2023-12-07
194,353,14 mm,2023-12-07 00:00:00,2023-07-12 11:03:00,2023-07-12 11:30:00,27,WATER BOX 4_2,"FRONT COBBLE IN LINE 2 WATER BOX NUMBER 4, HEAD HIT THERE. STRIPER WAS NOT PROPERLY FIXED. (1C+1H)",COBBLE REMOVED AND STRIPPER FIXED PROPERLY,COBBLE IN LINE 2 WATER BOX NUMBER 4,MATERIAL HEAD HIT IN STRIPPER,STRIPPER WEDGE FOUND LOOSE,,,COBBLE REMOVED AND STRIPPER FIXED PROPERLY,WEDGE CHANGE FREQUENCY TO BE DECIDE (3 MONTH),DONE ,,,2023-12-07 11:03:00,2023-12-07 11:30:00,2023-12-07
195,354,16 mm,2023-12-07 00:00:00,2023-07-12 21:54:00,2023-07-12 22:17:00,23,STAND 14,HEAD COBBLE WB3 COOLER NO 6 DUE TO BAD MATERIAL (HEAT NO 239458 HOT CHARGE 165 SQMM),"BAD MATERIAL, CHIPS AND COBBLE REMOVED AND MILL STARTED",,,,,,Mail to be send to SMS team for inernal billet & commercial for external billet,,DONE ,,,2023-12-07 21:54:00,2023-12-07 22:17:00,2023-12-07
196,357,12 mm,2023-12-09 00:00:00,2023-09-12 22:47:00,2023-09-12 23:14:00,27,BGV 2,HEAD SPLIT AFTER BGV 2 AND HIT AT WB21 ENTRY NOZZLE. HEAT NO 2309870 HOT CHARGE 165 SQMM,BAD BILLET. COBBLE REMOVED AND MILL STARTED,,,,,,,,DONE ,,,2023-12-09 22:47:00,2023-12-09 23:14:00,2023-12-09
197,366,25 mm,2023-12-15 00:00:00,15/12 09:01:51,15/12 09:39:09,37,ART,"UNDERSHOOT IN APRON LINE , MATERILA HIT NEAR APPROX 40 TO 50 MTRS FROM HMD 32. (1C_1H)",COBBLE REMOVED AD MILL STARTED ,UNDERSHOOT  IN LINE,HEAD HIT IN APPRON ,MIS-ALIGMNMENT OF APRON,,,"1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE","1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. MONTHLY PREVENTIVE MAINTENANCE TASKLIST TO BE REVISED CONSIDERING MAINTENANCE OF ALL THE PARTS INSTALLED AND LEVELLEING OF THE TABLE
4. IF IN A MONTH 2 CAMPAIGHN IS THERE THEN PM TO BE DONE TWICE
5. TEMPORARY CAMERA TO BE FIXED BEFORE NEXT CAMPAIGN",DONE ,,,2023-12-15 09:01:51,2023-12-15 09:39:09,2023-12-15
198,368,25 mm,2023-12-15 00:00:00,15/12 18:44:55,15/12 19:41:10,56,STAND 14,COBBLE AFTER STAND 14 DUE TO STAND 14 CLAMP BOLT CAME IN ROLLING LINE WITH METAL AT WATER BOX 1 ENTRY DRIER. (1C),COBBLE REMOVED AND MILL STARTED,COBBLE AFTER STAND 14,BOLT AVAILABLE IN ROLLING LINE,BOLT CAME FROM CLAMPING CYLINDER JOB (EXTRA BOLT LEFT OUT THERE AFTER JOB) ,HOUSEKEEPING NOT DONE AFTER JOB,POOR WORKMANSHIP,,"1. TRAING TO BE GIVEN TO ALL THE TECHNICIANS ON IMPORTANCE OF HOUSEKEEPING BEFORE AND AFTER THE JOB
2. HOUSEKEEPING POINT TO BE IN-CORPORATED IN ALL THE TASKLISTS",DONE ,,,2023-12-15 18:44:55,2023-12-15 19:41:10,2023-12-15
199,369,25 mm,2023-12-16 00:00:00,16/12 03:08:37,16/12 04:06:14,58,STAND 14,COBBLE AFTER STAND 14. PINCH ROLL 2 CYLINDER CHANGED. REASON NOT FOUND. CAPA TEAM PLESE ANALYSE THE REASON. APRON FOUND WEAR OUT.,COBBLE REMOVED AD MILL STARTED ,UNDERSHOOT  IN LINE,HEAD HIT IN APPRON ,MIS-ALIGMNMENT OF APRON,,,"1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE","1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. MONTHLY PREVENTIVE MAINTENANCE TASKLIST TO BE REVISED CONSIDERING MAINTENANCE OF ALL THE PARTS INSTALLED AND LEVELLEING OF THE TABLE
4. IF IN A MONTH 2 CAMPAIGHN IS THERE THEN PM TO BE DONE TWICE
5. TEMPORARY CAMERA TO BE FIXED BEFORE NEXT CAMPAIGN",DONE ,,,2023-12-16 03:08:37,2023-12-16 04:06:14,2023-12-16
200,371,25 mm,2023-12-17 00:00:00,17/12 06:52:52,17/12 07:03:53,11,ART,BAR HIT SOMEWHERE IN APRON & STUCK ON COOLING BED TROLLEY.,COBBLE REMOVED AD MILL STARTED ,UNDERSHOOT  IN LINE,HEAD HIT IN APPRON ,MIS-ALIGMNMENT OF APRON,,,"1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE","1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE
4. TEMPORARY CAMERA TO BE FIXED BEFORE NEXT CAMPAIGN",DONE ,,,2023-12-17 06:52:52,2023-12-17 07:03:53,2023-12-17
201,372,25 mm,2023-12-17 00:00:00,17/12 15:00:59,17/12 15:29:40,29,ART,UNDERSHOOT DUE TO MATERIAL HIT SOMEWHERE IN APRON.(1C+1H),COBBLE REMOVED AD MILL STARTED ,UNDERSHOOT  IN LINE,HEAD HIT IN APPRON ,MIS-ALIGMNMENT OF APRON,,,"1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE","1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE
4. TEMPORARY CAMERA TO BE FIXED BEFORE NEXT CAMPAIGN",DONE ,,,2023-12-17 15:00:59,2023-12-17 15:29:40,2023-12-17
202,373,25 mm,2023-12-18 00:00:00,18/12 05:05:53,18/12 05:15:31,10,ART,BAR HIT SOMEWHERE AT APRON AND STUCK ON COOLING BED,COBBLE REMOVED AD MILL STARTED ,UNDERSHOOT  IN LINE,HEAD HIT IN APPRON ,MIS-ALIGMNMENT OF APRON,,,"1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE","1. PROXY TO BE FIT IN BOTH SIDE OF DIVERTOR
2. DIVERTOR TO BE MADE READY AND CHANGED
3. PREVENTIVE AINTENANCE OF APRON TABLE IN-RESPECT TO LEVEL TO BE DONE
4. TEMPORARY CAMERA TO BE FIXED BEFORE NEXT CAMPAIGN",DONE ,,,2023-12-18 05:05:53,2023-12-18 05:15:31,2023-12-18
